target,bug_type,bug_key,input_data,stdout,stderr,returncode,timed_out,crashed,strategy,timestamp
ipv6_parser,BONUS,36a7ae600bd4,2001:db8::1:2:3:1592.0.2.33,"Running the IPv6 parser with ipstr: 2001:db8::1:2:3:1592.0.2.33
An unknown exception has been triggered. Expected end of text, found '.'  (at char 20), (line:1, col:21)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'pyparsing.e","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected end of text, found '.'  (at char 20), (line:1, col:21)
Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected end of text, found '.'  (at char 20), (line:1, col:21)
",0,False,False,byte_insert,2026-04-05 15:43:02
ipv6_parser,BONUS,4520a6a091a6,53f8:5c39:d0b8:1980:35c5:b69:d718:2a5c,"Running the IPv6 parser with ipstr: 53f8:5c39:d0b8:1980:35c5:b69:d718:2a5c
An unknown exception has been triggered. Expected ':', found '\x17'  (at char 26), (line:1, col:27)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'pypa","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found '\x17'  (at char 26), (line:1, col:27)
Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found '\x17'  (at char 26), (line:1, col:27)
",0,False,False,bit_flip,2026-04-05 15:43:13
ipv6_parser,INVALIDITY,f0c1d4640969,2001:db8::1:2:3:.92.012.33,"Running the IPv6 parser with ipstr: 2001:db8::1:2:3:.92.012.33
An unknown exception has been triggered. One of the octets are empty ('')
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'buggy_ipyparse.ipv4_mstv.InvalidityBug'>, ""","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1328, in parse_string
  File ""pyparsing/core.py"", line 950, in _parseNoCache
  File ""pyparsing/core.py"", line 4754, in parseImpl
  File ""pyparsing/core.py"", line 950, in _parseNoCache
  File ""pyparsing/core.py"", line 4634, in parseImpl
  File ""pyparsing/core.py"", line 950, in _parseNoCache
  File ""pyparsing/core.py"", line 5155, in parseImpl
  File ""pyparsing/core.py"", line 950, ",0,False,False,swap_chars,2026-04-05 15:43:24
ipv6_parser,INVALIDITY,991a8cf2edb4,d7c5:ce1e:5df1:e070:9353:f4f7:ae79:c402:dedf:3ce5:64:a4e1:adb8:49:3e3b:42df,"Running the IPv6 parser with ipstr: d7c5:ce1e:5df1:e070:9353:f4f7:ae79:c402:dedf:3ce5:64:a4e1:adb8:49:3e3b:42df
An invalidity bug has been triggered: Number of tokens passed exceeds the permitted number of hexes.
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1328, in parse_string
  File ""pyparsing/core.py"", line 989, in _parseNoCache
  File ""pyparsing/core.py"", line 284, in wrapper
  File ""buggy_ipyparse/ipv6_mstv.py"", line 132, in convert_ipv6
buggy_ipyparse.ipv6_mstv.InvalidityBug: Number of tokens passed exceeds the permitted number of hexes.
",0,False,False,constraint_violation,2026-04-05 15:43:36
ipv6_parser,INVALIDITY,991a8cf2edb4,9e90:93c8:2754:2813:4e31:fc18:f488:1a06:e39b:110e:fc8e,"Running the IPv6 parser with ipstr: 9e90:93c8:2754:2813:4e31:fc18:f488:1a06:e39b:110e:fc8e
An invalidity bug has been triggered: Number of tokens passed exceeds the permitted number of hexes.
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('inva","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1328, in parse_string
  File ""pyparsing/core.py"", line 989, in _parseNoCache
  File ""pyparsing/core.py"", line 284, in wrapper
  File ""buggy_ipyparse/ipv6_mstv.py"", line 132, in convert_ipv6
buggy_ipyparse.ipv6_mstv.InvalidityBug: Number of tokens passed exceeds the permitted number of hexes.
",0,False,False,constraint_violation,2026-04-05 19:47:39
ipv6_parser,BONUS,7684b862be47,9217:30a:28(64:d37f:a39d:d79a:4c79:f448,"Running the IPv6 parser with ipstr: 9217:30a:28(64:d37f:a39d:d79a:4c79:f448
An unknown exception has been triggered. Expected ':', found '('  (at char 11), (line:1, col:12)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'pyparsi","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found '('  (at char 11), (line:1, col:12)
Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found '('  (at char 11), (line:1, col:12)
",0,False,False,byte_insert,2026-04-05 19:47:50
ipv6_parser,BONUS,a3013c46f5a7,b71:5a01:70e\a:9e21:2270:f42d:fe75:4279,"Running the IPv6 parser with ipstr: b71:5a01:70e\a:9e21:2270:f42d:fe75:4279
An unknown exception has been triggered. Expected ':', found '\'  (at char 12), (line:1, col:13)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'pyparsi","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found '\'  (at char 12), (line:1, col:13)
Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found '\'  (at char 12), (line:1, col:13)
",0,False,False,insert_special_char,2026-04-05 19:48:01
ipv6_parser,BONUS,da53d1f80c69,473e:57f5:3864:4cf6:47e6:c524,"Running the IPv6 parser with ipstr: 473e:57f5:3864:4cf6:47e6:c524
An unknown exception has been triggered. Expected ':', found end of text  (at char 29), (line:1, col:30)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'pyparsing","Traceback (most recent call last):
  File ""pyparsing/core.py"", line 950, in _parseNoCache
  File ""pyparsing/core.py"", line 2771, in parseImpl
IndexError: string index out of range

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found end of text  (at char 29), (line:1, col:30)
Tracebac",0,False,False,truncate,2026-04-05 19:48:12
ipv6_parser,BONUS,ce491ef74e97,9d18:63a0:d152:e743:12cc:23a2:9af1:2b&96,"Running the IPv6 parser with ipstr: 9d18:63a0:d152:e743:12cc:23a2:9af1:2b&96
An unknown exception has been triggered. Expected end of text, found '&'  (at char 37), (line:1, col:38)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class","Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected end of text, found '&'  (at char 37), (line:1, col:38)
Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected end of text, found '&'  (at char 37), (line:1, col:38)
",0,False,False,byte_insert,2026-04-05 19:48:24
ipv6_parser,BONUS,b84c963dbe74,fcee:2a38:9697:90ba:2eae:cb3a:6196,"Running the IPv6 parser with ipstr: fcee:2a38:9697:90ba:2eae:cb3a:6196
An unknown exception has been triggered. Expected ':', found end of text  (at char 34), (line:1, col:35)
============================================================
TRACEBACK
============================================================
============================================================
Saved bug count report and tracebacks for the bugs encountered!
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'pypa","Traceback (most recent call last):
  File ""pyparsing/core.py"", line 950, in _parseNoCache
  File ""pyparsing/core.py"", line 2771, in parseImpl
IndexError: string index out of range

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""ipv6_parser_stv.py"", line 219, in <module>
  File ""pyparsing/core.py"", line 1340, in parse_string
pyparsing.exceptions.ParseException: Expected ':', found end of text  (at char 34), (line:1, col:35)
Tracebac",0,False,False,constraint_violation,2026-04-05 19:48:46
